Atomic;		Symbol;		New Group #;		Old Group #;		Period;		Element name;		Atomic Mass (rounded);		Atomic Mass (IUPAC 2001);		Notes;		Melting Point (ÁC);		Boiling Point (ÁC);		Density (g/cm3);		Electro- negativity (Pauling);		1st Ionisation Energy (kJ/mol);		Electron Affinity (kJ/mol);		Covalent Atomic Radius (pm);		Common Oxidation States;		Predicted Electron Configuration;		Observed Electron Configuration
1;	 H;	 1;		I A;		1;		hydrogen;		m;		1,00794;		;		-259,1;		-252,9;		0,0000699;		2,2;		1312;		-73;		37;		±1;		1s1;		1s1
2;	 He; 18;		VIII A;		1;		helium;		4,003;		4,002602;		;		-272,2;		-268,9;		0,000179;		;		2377;		;		32;		0;		1s2;		1s2
3;	 Li; 1;		I A;		2;		lithium;		6,941;		6,941;		;		180,5;		1342;		0,543;		1;		520;		-60;		134;		1;		[He] 2s1;		[He] 2s1
4;	 Be; 2;		II A;		2;		beryllium;		9,012;		9,012182;		;		1278;		2970;		1,85;		1,6;		899;		-18;		90;		2;		[He] 2s2;		[He] 2s2
5;	 B;	 13;		III A;		2;		boron;		10,81;		10,811;		sublimes;		2079;		2550;		2,34;		2;		801;		-27;		82;		3;		[He] 2s2 2p1;		[He] 2s2 2p1
6;	 C;	 14;		IV A;		2;		carbon;		12,01;		12,0107;		graphite;		3367;		4827;		2,25;		2,6;		1086;		-122;		77;		±4;		[He] 2s2 2p2;		[He] 2s2 2p2
7;	 N;	 15;		V A;		2;		nitrogen;		14,01;		14,0067;		;		-209,9;		-195,8;		0,00125;		3;		1420;		-7;		75;		_3;		[He] 2s2 2p3;		[He] 2s2 2p3
8;	 O;	 16;		VI A;		2;		oxygen;		16;		15,9994;		;		-218,4;		-183;		0,00143;		3,4;		1314;		-141;		73;		_2;		[He] 2s2 2p4;		[He] 2s2 2p4
9;	 F;	 17;		  VII A;		2;		fluorine;		19;		18,9984032;		;		-219,8;		-188,1;		0,0017;		4;		1681;		-328;		72;		_1;		[He] 2s2 2p5;		[He] 2s2 2p5
10;	 Ne;	 18;		 VIII A;		2;		neon;		20,18;		20,1797;		;		-248;		-248,7;		0,0009;		;		2088;		;		71;		0;		[He] 2s2 2p6;		[He] 2s2 2p6
11;	 Na;	 1;		  I A;		3;		sodium;		22,99;		22,98977;		;		97,8;		883;		0,971;		0,9;		495;		-53;		154;		1;		[Ne] 3s1;		[Ne] 3s1
12;	 Mg;	 2;		  II A;		3;		magnesium;		24,31;		24,305;		;		649;		1090;		1,74;		1,3;		735;		0;		130;		2;		[Ne] 3s2;		[Ne] 3s2
13;	 Al;	 13;		 III A;		3;		aluminum;		26,98;		26,981538;		;		660;		2467;		2,7;		1,6;		580;		-44;		118;		3;		[Ne] 3s2 3p1;		[Ne] 3s2 3p1
14;	 Si;	 14;		 IV A;		3;		silicon;		28,09;		28,0855;		;		1410;		2355;		2,33;		1,9;		780;		-134;		111;		±4;		[Ne] 3s2 3p2;		[Ne] 3s2 3p2
15;	 P;	 15;		 V A;		3;		phosphorus;		30,97;		30,973761;		white;		44,1;		280;		1,82;		2,2;		1060;		-72;		106;		_3;		[Ne] 3s2 3p3;		[Ne] 3s2 3p3
